No.,Username,Text,Created at,Likes,Conversation ID,Reply count,Replies text,URL
1,Carlos,Hola @metrodemedellin por qué la @TuCivica no está funcionando? Voy a llegar tarde al trabajo en el primer día!! https://t.co/e4iy359L1w,Mon Jan 13 11:03:02 +0000 2025,1,1878759657768165531,2,"@alejoruiz2208 @metrodemedellin @TuCivica El que? https://t.co/SDCyBkhTSg; @metrodemedellin @carjivil @TuCivica ""Acabaron con el Metro partida de inútiles.""; @carjivil @TuCivica Nuestros amigos de @TuCivica te contactarán para ayudarte a resolver.; @metrodemedellin @TuCivica No, sale el error. Desinstalé y volví a instalar y nada.; @carjivil @TuCivica Hola Carlos, buenos días. ¿Pudiste generar el QR? No tenemos reportes del proveedor ni de @TuCivica de fallas a esta hora.; @carjivil https://t.co/So1SphtZOP",['https://x.com/carjivil/status/1878759657768165531/photo/1']
2,s ✯ ✯ ✯ ✯ ✯ 🇨🇴,holi @metrodemedellin cómo puedo llegar hasta el politécnico grancolombiano sede los colores desde la línea A,Fri Jan 24 19:28:16 +0000 2025,0,1882873070085632365,1,"@sarab_skz Hola, Sara.
¡Muy buenas tardes! Toma el tren hasta San Antonio, allí haz trasbordo a línea B y dirígete a la #EstaciónSuramericana, y en esta última busca la ruta integrada 253i, que te dejará muy cerca de tu destino.
¡Saludos!",[]
3,Adriana Lucía,Hola @metrodemedellin cómo me voy de la estación La Estrella a Oviedo 🥹,Thu Jan 02 13:05:48 +0000 2025,1,1874804287542542596,1,"@AdriPuentesD Hola, Adriana, viaja hasta la #EstaciónAguacatala y allí tomas la ruta integrada 130i que pasa por el centro comercial.",[]
4,Sebastián Sotelo,Holi… @metrodemedellin Que Ruta Cojo Para Llegar A Bermellón Restaurante Bar en Envigado. ☺️,Sat Feb 15 13:41:45 +0000 2025,0,1890758399165440405,1,"@sotelosebas_ Hola, Sebas. Puedes caminar unos 15 minuticos desde la estación Ayurá hasta tu destino. También te puede servir desde la misma estación la ruta integrada 6405 en el costado oriental; esa pasa por el Euro de La Frontera muy cerca a Bermellón. ¡Un abrazo! 💚 https://t.co/svhBN4knJa",[]
5,Podcastinador✨,"¡Hola @metrodemedellin! ¿Por qué el conductor de la ruta 255D no tenía info del cierre de la Estación Aurora y nos deja tirados sin solucionar llevarnos a una estación como ha sido el protocolo en otras ocasiones?

Siempre gracias; siempre tu fan❤️‍🔥",Tue Feb 04 15:08:21 +0000 2025,0,1886793925387506044,0,,[]
6,Vanesa T.,Tío @metrodemedellin por favor me recuerdas como llego a la terminal del sur si voy en la línea A?,Wed Dec 25 19:20:27 +0000 2024,1,1871999465483346099,1,"@metrodemedellin Gracias; @tres_vane Hola, Vane. Viaja en la línea A hasta la estación Poblado. Allí toma la ruta integrada C4_002. También, puedes tomar transporte urbano o caminar.",[]
7,Soff ๋࣭ ⭑,"¿Será que no puedo llegar a México en .@metrodemedellin?, es para ver a jhope",Fri Jan 10 00:34:44 +0000 2025,0,1877514374828429645,1,"@ilythvmin Seguro te llevamos y cantamos juntos ""Sopa de pollo con fideos""🎵🎶https://t.co/r1BRaxnUI1",[]
8,Juan Pablo Pinillos,"Hola tío @metrodemedellin 

Cómo hago para llegar a La Villa de Aburrá Belén desde la estación Envigado?
Gracias!!",Fri Jan 17 23:19:06 +0000 2025,1,1880394445004345719,1,"@0xpinillos Hola Juan Palo, buenas tardes. Viaja hasta Aguacatala y allí toma la ruta alimentadora C3_001.",[]
9,salomé,"Voy a llegar pasado mañana al trabajo😅

@metrodemedellin https://t.co/K4tOdeG5q5",Wed Jan 29 12:13:28 +0000 2025,2,1884575587496243351,1,"@salome_ospina98 Hola, Salomé. 
Muchas gracias, de antemano, por tu reporte. Queremos que sepas que ya estamos trabajando en soluciones para mejorar la movilidad y tu experiencia en el sistema. 💚

Agradecemos también tu paciencia y compromiso.",['https://x.com/salome_ospina98/status/1884575587496243351/photo/1']
10,David Zapata 🦜,"La ruta de la cerámica del Carmen del Viboral, viaja en el @metrodemedellin https://t.co/eECNbE3R2a",Tue Feb 11 14:49:06 +0000 2025,5,1889325797871112307,0,,['https://x.com/davidzapatacar/status/1889325797871112307/photo/1']
11,Diana Marín H,"Hola @metrodemedellin, ¿cómo puedo llegar a Santa Elena usando sus servicios? Aparte de la línea L.",Sun Feb 02 16:14:55 +0000 2025,2,1886085903870746710,2,"@MarinH_Diana @metrodemedellin O se vas en tranvía hasta pabellón del agua y de ahí caminas al pequeño teatro :3; @MarinH_Diana @metrodemedellin Al lado del pequeño teatro paran los buses para santa elena; @MarinH_Diana Hola Diana, buenos días. No tenemos rutas integradas que viajen a Santa Elena. Por la parada Pabellón del Agua (línea T), se hacen los buses que viajan hasta el corregimiento.",[]
